EPIC ID,Type
202533810,Young Stellar Object
202632400,Young Stellar Object
202633073,Brown Dwarf
202640668,Young Stellar Object
202709152,Brown Dwarf
202709862,Young Stellar Object
202724025,Young Stellar Object
202795175,Brown Dwarf
202906224,Brown Dwarf
202933888,T Tau-type Star
202947197,Pre-main sequence Star
202955563,Young Stellar Object
202957873,Young Stellar Object
202976647,Star in Association
202978875,Brown Dwarf
203001378,Brown Dwarf
203001867,Young Stellar Object
203004488,Brown Dwarf
203024070,Young Stellar Object
203385048,Young Stellar Object
