Epic ID,Right Ascension,Declination,Magnitude,Investigation IDs,Type
202533810,243.75251200000002,-29.326361,13.231, GO2063_LC|GO2069_LC,Young Stellar Object
202632400,244.48370099999997,-28.944435,15.118, GO2010_LC|GO2020_LC|GO2063_LC,Young Stellar Object
202633073,242.554835,-28.941889,16.607, GO2010_LC,Brown Dwarf
202640668,246.077537,-28.913211999999998,10.865, GO2051_LC|GO2063_LC,Young Stellar Object
202709152,245.879863,-28.654902000000003,14.843, GO2020_LC|GO2063_LC,Brown Dwarf
202709862,243.071829,-28.652388000000002,14.512, GO2063_LC|GO2069_LC,Young Stellar Object
202724025,242.237312,-28.599278,13.01, GO2063_LC|GO2069_LC,Young Stellar Object
202795175,245.924456,-28.336861,15.243, GO2063_LC,Brown Dwarf
202906224,245.82340499999998,-27.936378,14.069, GO2020_LC|GO2063_LC,Brown Dwarf
202933888,243.74658399999998,-27.839691,10.843, GO2003_LC|GO2020_LC|GO2047_LC|GO2051_LC|GO2052_LC|GO2056_LC|GO2085_LC|GO2091_LC|GO2092_LC|GO2109_LC,T Tau-type Star
202947197,243.449232,-27.792759999999998,9.244, GO2054_LC|GO2063_LC|GO2081_LC|GO2104_LC,Pre-main sequence Star
202955563,243.585894,-27.763826,16.027, GO2010_LC|GO2045_LC,Young Stellar Object
202957873,242.25215699999998,-27.755391999999997,14.415, GO2063_LC,Young Stellar Object
202976647,246.62462599999998,-27.688959000000004,8.514, GO2020_LC|GO2052_LC|GO2054_LC|GO2092_LC|GO2104_LC,Star in Association
202978875,242.25703,-27.681148999999998,15.48, GO2010_LC,Brown Dwarf
203001378,245.47835600000002,-27.602856,13.879000000000001, GO2063_LC,Brown Dwarf
203001867,245.99593199999998,-27.601032,13.550999999999998, GO2051_LC|GO2063_LC|GO2069_LC,Young Stellar Object
203004488,244.684652,-27.591778,14.658, GO2063_LC,Brown Dwarf
203024070,243.34077000000002,-27.522854,15.99, GO2010_LC,Young Stellar Object
