Time,Flux
2061.326267155564,-5234.982
2061.346699346468,-5133.29
2061.3671314373787,-5198.129
2061.3875637273595,-5181.27
2061.4079959173396,-5210.697
2061.428428206382,-5031.2695
2061.4692924840056,-4957.9185
2061.489724771658,-5097.2114
2061.510156859309,-5016.9585
2061.530589046495,-5171.672
2061.5510213327434,-4975.7188
2061.571453518998,-5148.848
2061.5918856047792,-5020.3623
2061.612317889638,-5163.5405
2061.6327500744956,-4995.6064
2061.653182158887,-5030.7593
2061.673614442807,-4886.913
2061.6940466262677,-5140.2397
2061.71447880879,-5009.0464
2061.7349109913193,-5258.465
2061.755343173383,-5114.9985
2061.775775354974,-4974.3345
2061.7962075361065,-5018.1167
2061.8166397167734,-5218.6157
2061.8370718969672,-4885.3794
2061.8575040767028,-5104.5195
2061.877936155972,-5089.499
2061.8983684347695,-4942.705
2061.918800613108,-4996.1597
2061.939232790981,-5212.986
2061.959664968381,-5183.944
2061.980097145788,-5119.5156
2062.0005294222647,-5135.0034
2062.020961498267,-5175.124
2062.0413936738114,-5177.4575
2062.0618259493567,-5184.654
2062.082258023962,-5211.3213
2062.1026901981095,-5115.1157
2062.123122471792,-5152.852
2062.143554645467,-5312.312
2062.1639867182166,-5131.675
2062.20485116278,-5180.8926
2062.2252832345985,-5023.7983
2062.245715505487,-5057.8804
2062.266147676368,-5128.883
2062.2865797463237,-5093.9243
2062.307012016281,-4921.938
2062.327444185299,-5141.5386
2062.347876454325,-5274.6196
2062.368308522884,-5110.2104
2062.3887406909707,-5036.724
2062.409172958134,-5078.8345
2062.429605025296,-5058.676
2062.4500371919858,-5061.8374
2062.470469358217,-5132.3223
2062.4909015239828,-5052.5464
2062.5113336892755,-5080.7085
2062.53176585411,-5029.587
2062.5521980184785,-5044.555
2062.5726301823743,-5197.3364
2062.5930623458116,-5039.3706
2062.6134945087833,-5257.234
2062.633926671282,-5124.89
2062.6543589333232,-5129.1875
2062.674790994897,-5006.2256
2062.6952232564654,-5171.9316
2062.715655417109,-5160.8994
2062.7360874772858,-5088.1045
2062.756519737457,-5078.8687
2062.7769518967034,-5102.6675
2062.7973839554834,-5002.432
2062.8178162142576,-5070.727
2062.838248372107,-5040.3257
2062.8586804299557,-4955.4136
2062.879112687333,-5001.907
2062.8995448437854,-5089.9854
2062.919976900237,-4922.9023
2062.9404091562174,-5152.9106
2062.960841311273,-5329.444
2062.9812734663283,-5160.7695
2063.001705620911,-5011.2817
2063.022137775035,-5145.7036
2063.042569928686,-5108.4033
2063.063002081879,-5142.6665
2063.083434234606,-5176.883
2063.103866486861,-5283.145
2063.124298638657,-5206.7476
2063.1447306899863,-5268.4263
2063.1651629408443,-5217.2993
2063.185595091243,-5152.6187
2063.2060271416412,-5167.9097
2063.2264593911023,-5186.266
2063.2468914401034,-5100.595
2063.267323589105,-5105.3857
2063.2877558371692,-5239.4307
2063.308187885239,-5032.4272
2063.3286200323782,-4992.093
2063.349052279511,-5197.0737
2063.369484325718,-5074.3335
2063.389916471926,-5038.7876
2063.4103487176617,-5335.927
2063.4307807629375,-5131.4165
2063.4512129072828,-5142.605
2063.4716451516215,-5159.1567
2063.492077295501,-5281.5435
2063.512509438915,-5235.462
2063.532941581856,-5140.3
2063.5533737243386,-5162.4683
2063.5738058663555,-5086.0073
2063.594238008365,-5186.7646
2063.614670149451,-5278.271
2063.6351023900643,-5003.995
2063.675966570372,-5076.5576
2063.696398809596,-5392.9375
2063.716830848811,-5274.513
2063.7372629871024,-4976.7803
2063.7576952253876,-5091.5894
2063.778127263213,-5065.5522
2063.7985594001075,-5039.066
2063.818991637003,-5022.7188
2063.839423673424,-5198.1875
2063.859855809387,-5158.013
2063.8802880448784,-5083.661
2063.9007200799097,-5199.933
2063.921152314477,-5049.6123
2063.9415844485775,-5280.652
2063.9620164822045,-5108.2544
2063.9824487153746,-5087.157
2064.002880848071,-5157.235
2064.023312880774,-5158.3115
2064.043745112547,-5222.2715
2064.064177243854,-5055.8833
2064.0846092751526,-5119.525
2064.105041505529,-5324.2646
2064.125473635897,-4783.6953
2064.574980489553,-5277.7563
2064.595412609684,-5237.8774
2064.615844629341,-5217.0757
2064.6362768485415,-5178.454
2064.656708967741,-5341.5737
2064.7384373384702,-5379.835
2064.7588695553422,-5251.941
2064.779301571747,-5323.5615
2064.799733787215,-5231.7715
2064.820165902689,-5253.0366
2064.8405980176976,-5245.088
2064.8610301322333,-5323.7114
2064.901894359922,-5239.687
2064.922326473061,-5263.384
2064.9427585862068,-5037.2974
2064.9631906984214,-5350.2754
2064.983622910164,-5225.8247
2065.004054921912,-5128.345
2065.0244870327297,-5347.844
2065.044919243541,-5186.7754
2065.0653512534263,-5244.3364
2065.0857833633127,-5307.287
2065.106215572727,-5288.311
2065.126647581681,-5302.7026
2065.1470796901704,-5323.039
2065.1675118981875,-5242.1313
2065.1879439057448,-5060.4204
2065.208376112838,-5176.345
2065.228808219923,-5262.902
2065.249240226083,-5233.9478
2065.2696724317793,-5331.237
2065.2901045374674,-5321.3267
2065.310536642697,-5200.074
2065.3309687469955,-5310.053
2065.3514008512866,-5435.189
2065.3718329551193,-5271.2866
2065.3922650584864,-5349.586
2065.4126971613805,-5194.9053
2065.433129263816,-5304.3706
2065.4535613657863,-5332.9854
2065.4739934672834,-5345.09
2065.4944254683214,-5206.8135
2065.514857669361,-5186.013
2065.535289769461,-5113.5176
2065.5557217695678,-5279.131
2065.576153969203,-5290.7485
2065.5965860679134,-5242.1914
2065.6374502648687,-5299.468
2065.6578823626405,-5242.0703
2065.6783145599547,-5216.72
2065.6987465567945,-5274.841
2065.7191786531766,-5384.142
2065.7396108495595,-5106.674
2065.7600428450096,-5012.7217
2065.780474940453,-5309.0303
2065.8009071349734,-5373.9814
2065.8213392294856,-5197.0415
2065.8417712235387,-5245.5244
2065.862203416662,-5220.008
2065.882635509777,-5190.9287
2065.9030675024333,-5341.6655
2065.923499694625,-5316.4775
2065.943931786809,-5255.251
2065.964363778068,-5213.419
2065.984795968863,-5118.693
2066.00522805965,-5232.865
2066.025660049512,-5379.387
2066.046092239376,-5330.1123
2066.066524328766,-5339.0776
2066.0869565172325,-5176.8364
2066.1278205936906,-5249.584
2066.148252681225,-5339.6226
2066.168684768294,-5103.5015
2066.1891168553557,-5178.2637
2066.2095489414933,-5179.3857
2066.229981027631,-5079.4434
2066.25041311283,-5239.774
2066.270845198036,-5260.7485
2066.291277282311,-5331.405
2066.3117093665787,-5301.6807
2066.3321415503888,-5316.3447
2066.3730056166023,-5322.6665
2066.393437799481,-5290.2466
2066.413869781427,-5343.508
2066.4343018629006,-5136.6123
2066.4547340443823,-5206.01
2066.4751660249312,-5219.613
2066.4955981054736,-5165.75
2066.5160302855584,-5167.413
2066.536462265176,-5119.8984
2066.556894444322,-5202.5244
2066.577326523009,-5425.856
2066.5977585012297,-5265.645
2066.618190678979,-5300.7876
2066.6386227567345,-5150.762
2066.659054833559,-5177.909
2066.679486910376,-5258.4263
2066.6999189867347,-5187.2188
2066.720351062162,-5341.21
2066.740783137582,-5371.5415
2066.761215212544,-4738.2354
2066.78164728704,-5173.545
2066.802079461064,-5413.9653
2066.8225114350935,-5168.671
2066.8633755812843,-5300.2207
2066.883807653452,-5252.552
2066.90423972562,-5271.773
2066.9246718973154,-5319.639
2066.945103868551,-5297.26
2066.965535839321,-5369.2075
2066.9859680096197,-5327.7954
2067.006400079459,-5431.183
2067.026832249292,-5435.6846
2067.0472642181994,-5413.8154
2067.0676962871075,-5333.553
2067.088128455085,-5186.8247
2067.108560423054,-5325.225
2067.128992490565,-5367.4
2067.149424657604,-5292.074
2067.169856724184,-5269.222
2067.190288690297,-5248.079
2067.210720856412,-5288.657
2067.2311529215876,-5338.6396
2067.2515848867697,-5203.4263
2067.2720170510147,-5265.1895
2067.292449115266,-5405.0117
2067.3128810790513,-5228.7876
2067.3537453052195,-5247.2695
2067.3946094295243,-5283.4883
2067.4150414914475,-5349.877
2067.4354734524386,-5180.539
2067.4559056134312,-5275.81
2067.47633767395,-5416.108
2067.4967698340115,-5244.1
2067.5172017935984,-5314.6904
2067.5376338527276,-5351.0894
2067.558066011392,-5176.1074
2067.578497969589,-5299.581
2067.5989300277797,-5334.8633
2067.619362085512,-5243.319
2067.6397942423064,-5314.0054
2067.6602261991065,-5165.1523
2067.680658255442,-5321.7686
2067.701090311304,-5120.8774
2067.721522366708,-5286.0034
2067.741954521647,-5180.8735
2067.7623864765774,-5232.2827
2067.7828185305843,-5320.691
2067.803250684592,-5271.275
2067.844114691201,-5280.436
2067.8645468438117,-5346.5093
2067.884978795948,-5311.219
2067.9054109476274,-5195.989
2067.9258429988404,-5235.624
2067.9462749500453,-5075.748
2067.9667071007934,-5369.3765
2067.9871391506094,-5241.7188
2068.007571200418,-5249.7695
2068.0280032497685,-5214.226
2068.048435298653,-5184.205
2068.1097314429717,-5380.375
2068.130163490452,-5232.1274
2068.150595637475,-5065.829
2068.171027583565,-5135.0293
2068.1914596296483,-5190.7446
2068.21189177574,-5302.9663
2068.2323237208984,-5321.155
2068.252755765585,-5306.9194
2068.2731879102794,-5320.07
2068.293619854041,-5446.778
2068.314051897796,-5265.6416
2068.3344840410937,-5322.606
2068.354915983924,-5255.576
2068.375348126283,-5359.5537
2068.395780068182,-5279.5005
2068.4162121100817,-5348.955
2068.4366442510436,-5291.491
2068.4570761920113,-5292.751
2068.477508232514,-5393.6743
2068.497940372079,-5351.1743
2068.5183723116497,-5343.081
2068.538804351221,-5218.42
2068.559236489855,-5355.3345
2068.5796685280293,-5329.5674
2068.600100466203,-5263.321
2068.6205326039053,-5269.254
2068.640964640683,-5249.279
2068.6613965774595,-5318.305
2068.6818287142305,-5235.4785
2068.7022607500767,-5140.877
2068.7226926854564,-5180.913
2068.7431248208304,-5358.936
2068.7635568552796,-5307.4595
2068.7839889897223,-5274.5044
2068.824852957223,-5228.3765
2068.8452850902686,-5158.3755
2068.86571702332,-5231.167
2068.886149055441,-5198.0337
2068.9065811875553,-5176.692
2068.927013118744,-5259.962
2068.9474451499336,-5316.3896
2068.967877280651,-5034.345
2068.9883093109092,-5164.9614
2069.0087412411667,-5187.915
2069.029173370487,-5207.1826
2069.049605399814,-5404.6406
2069.070037328209,-5239.3115
2069.090469456598,-5220.8794
2069.110901384527,-5309.226
2069.1313334119914,-5222.5435
2069.151765539449,-5196.855
2069.172197565982,-5241.2285
2069.1926294925142,-5270.3647
2069.2130616181094,-5384.1123
2069.23349354371,-5200.45
2069.253925668847,-5041.032
2069.27435769351,-5053.3228
2069.3152217419192,-5388.2495
2069.335653765651,-5279.0874
2069.356085688458,-5134.58
2069.3765178112662,-5248.1187
2069.396949833601,-5320.138
2069.4173818554773,-5347.92
2069.4378138773536,-5199.5674
2069.4582458982914,-5364.365
2069.4786779192364,-5278.311
