Time,Flux,Flux_Err,Filt
2061.3262705944726,2645.793,10.283007,False
2061.346702786308,2691.8003,10.283255,False
2061.3671348776843,2683.243,10.28401,False
2061.3875671681308,2749.8833,10.284886,False
2061.4079993585765,2815.1726,10.287595,False
2061.42843164855,2981.0994,10.291508,False
2061.4692959266395,3277.2957,10.299496,False
2061.4897282152233,3422.419,10.30676,False
2061.51016030334,3613.824,10.309884,False
2061.5305924909917,3688.2856,10.313684,False
2061.5510247777056,3899.9465,10.319223,False
2061.571456964426,3777.8325,10.318715,False
2061.5918890506728,3871.3342,10.320663,False
2061.6123213364626,3834.1897,10.319888,False
2061.632753521786,3830.2507,10.3174515,False
2061.653185606643,3779.9592,10.316118,False
2061.6736178910287,3752.903,10.31435,False
2061.6940500744895,3603.9856,10.311353,False
2061.714482257943,3695.0806,10.312363,False
2061.734914440938,3486.9553,10.308814,False
2061.7553466234676,3526.0645,10.30972,False
2061.775778805524,3548.5283,10.308117,False
2061.7962109871223,3436.3586,10.30669,False
2061.8166431687205,3234.6138,10.302724,False
2061.83707534938,3288.833,10.299387,False
2061.857507529581,3153.4377,10.297271,False
2061.877939609316,3159.2532,10.298881,False
2061.8983718885793,3250.7803,10.299571,False
2061.9188040673835,3246.3464,10.298852,False
2061.939236245722,3194.0466,10.300989,False
2061.9596684240532,3191.4595,10.30022,False
2061.9801006014604,3269.635,10.300142,False
2062.0005328784027,3176.967,10.300072,False
2062.0209649553362,3173.3096,10.299903,False
2062.0413971313465,3238.9104,10.301839,False
2062.061829406892,3278.083,10.302356,False
2062.0822614824283,3352.1606,10.304525,False
2062.1026936570415,3388.626,10.305844,False
2062.12312593119,3288.102,10.304475,False
2062.14355810533,3218.4175,10.3030615,False
2062.1639901785456,3251.85,10.301211,False
2062.2048546240403,3354.9875,10.307057,False
2062.2252866963245,3411.295,10.308382,False
2062.2457189681445,3239.2268,10.302218,False
2062.266151139025,3171.8286,10.300954,False
2062.2865832099124,3125.6028,10.300066,False
2062.3070154803354,3155.9927,10.299204,False
2062.327447649819,3017.4568,10.297104,False
2062.347879919311,2914.8633,10.293209,False
2062.3683119883353,3005.0242,10.29615,False
2062.3887441568877,3088.8276,10.297852,False
2062.4091764249824,3084.0144,10.298598,False
2062.4296084921443,3164.3594,10.30068,False
2062.4500406592997,3217.4163,10.301847,False
2062.4704728259967,3229.048,10.303854,False
2062.490904992228,3252.5872,10.30399,False
2062.5113371579864,3263.5728,10.305685,False
2062.5317693232864,3287.7944,10.306453,False
2062.5522014881208,3269.4377,10.304517,False
2062.572633652948,3222.4114,10.305381,False
2062.593065816851,3310.3406,10.306288,False
2062.6134979802882,3120.7559,10.303401,False
2062.6339301432527,3151.5305,10.302555,False
2062.6543624057595,3102.257,10.301042,False
2062.6747944682647,3023.3672,10.297598,False
2062.695226729833,2869.6582,10.294837,False
2062.715658890942,2826.2063,10.292174,False
2062.7360909520503,2757.3892,10.290236,False
2062.7565232122215,2621.6562,10.284665,False
2062.7769553723992,2483.039,10.281902,False
2062.797387431645,2402.8562,10.277989,False
2062.817819690885,2259.3594,10.272483,False
2062.8382518492,2094.2148,10.267261,False
2062.858683907514,1889.6952,10.261648,False
2062.8791161648915,1648.8225,10.252689,False
2062.899548322275,1348.3499,10.243072,False
2062.9199803791926,1120.4005,10.234315,False
2062.9404126356385,749.97046,10.22418,False
2062.9608447916253,357.0473,10.21706,True
2062.9812769466807,306.4737,10.209446,True
2063.001709101729,248.8912,10.2087,True
2063.0221412563187,108.51067,10.205165,True
2063.0425734104356,121.901764,10.203852,True
2063.063005564094,85.10618,10.203959,True
2063.083437717287,101.87444,10.203461,True
2063.1038699700075,46.991,10.204483,True
2063.1243021227347,82.04027,10.204928,True
2063.1447341745297,74.518326,10.206285,True
2063.1651664258534,120.84607,10.206222,True
2063.185598576718,157.27924,10.206544,True
2063.2060306275816,180.81296,10.20746,True
2063.2264628775083,237.4094,10.209564,True
2063.246894926975,315.69608,10.210508,True
2063.2673270764426,336.0083,10.210991,True
2063.2877593249723,348.29456,10.213379,True
2063.3081913735077,469.92767,10.216905,False
2063.3286235211126,545.94696,10.217902,False
2063.349055768711,494.98633,10.218932,False
2063.3694878158494,559.43994,10.218829,False
2063.3899199620573,595.06067,10.221855,False
2063.4103522082587,493.29956,10.219334,False
2063.430784254,572.77014,10.221031,False
2063.4512163992767,598.3093,10.220734,False
2063.471648644081,579.3134,10.222811,False
2063.4920807884264,462.9586,10.218731,False
2063.512512932306,512.5901,10.21915,False
2063.5329450757126,494.3655,10.219158,False
2063.553377218661,513.30237,10.218442,False
2063.5738093611435,532.6608,10.22051,False
2063.594241503153,542.40497,10.219508,False
2063.61467364517,505.1276,10.219837,False
2063.635105886249,660.6428,10.223043,False
2063.6759700674884,661.3715,10.225829,False
2063.696402307178,583.6804,10.226621,False
2063.7168343468584,625.69165,10.226068,False
2063.7372664856157,786.95026,10.228424,False
2063.7576987243665,816.58795,10.230844,False
2063.7781307626574,848.74396,10.232171,False
2063.7985629000177,844.3063,10.232384,False
2063.818995137379,917.578,10.232631,False
2063.8394271742654,741.19257,10.229346,False
2063.8598593106944,777.91925,10.230367,False
2063.8802915466513,766.7975,10.230057,False
2063.900723582148,668.7815,10.228461,False
2063.921155817181,751.1177,10.229047,False
2063.9415879517474,582.07404,10.224838,False
2063.96201998584,641.61664,10.227049,False
2063.982452219476,666.7419,10.226532,False
2064.0028843531036,597.9695,10.225396,False
2064.0233163858065,615.3112,10.22574,False
2064.0437486180454,594.5052,10.225526,False
2064.0641807502834,679.65607,10.227828,False
2064.084612781582,655.86035,10.226853,False
2064.1050450128896,576.3634,10.226061,False
2064.1254771432577,693.90875,10.226766,False
2064.186773532987,-3713.9626,10.104973,False
2064.2072055619574,-3719.4062,10.106975,False
2064.248069918045,-3764.9658,10.105533,False
2064.2685019460914,-3767.0212,10.104922,False
2064.288934173208,-3739.4607,10.108026,False
2064.309366299858,-3704.1255,10.106434,False
2064.329798526036,-3739.3916,10.108253,False
2064.350230551754,-3779.8328,10.10837,False
2064.574984007624,756.4275,10.232575,False
2064.5954161282207,807.8579,10.233478,False
2064.6158481483435,855.01776,10.234236,False
2064.6362803680095,897.3764,10.235524,False
2064.656712487209,844.1618,10.236307,False
2064.7384408602666,1067.6627,10.240751,False
2064.7588730771386,1147.5438,10.244083,False
2064.779305094009,1132.7451,10.242437,False
2064.799737310408,1192.0453,10.2432575,False
2064.820169426348,1251.4226,10.245848,False
2064.8406015418223,1277.367,10.2467,False
2064.861033656358,1308.8324,10.250291,False
2064.9018978854438,1446.3522,10.25333,False
2064.922329999048,1493.2775,10.257072,False
2064.942762112194,1644.4615,10.259378,False
2064.9631942248743,1549.4479,10.260018,False
2064.983626437548,1571.747,10.260006,False
2065.0040584492963,1678.3815,10.263111,False
2065.0244905610452,1640.8928,10.263104,False
2065.0449227718564,1715.2594,10.263932,False
2065.0653547826732,1685.3503,10.262121,False
2065.085786893025,1666.4631,10.263746,False
2065.1062191024394,1697.6932,10.264286,False
