,ID,M,P,Q
196,204662993,-0.078,0.494,1.0090000000000001
85,203914960,0.044000000000000004,0.0,1.002
67,203876897,-0.031,0.708,1.002
19,203664569,1.036,0.0,1.0
74,203892903,0.605,0.0,1.0
206,204856535,0.42100000000000004,0.0,1.0
255,205345560,0.32899999999999996,0.0,1.0
277,203893434,0.26,0.0,1.0
77,203896277,0.19,0.0,1.0
111,203955457,0.187,0.0,1.0
243,205160565,0.18100000000000002,0.0,1.0
87,203916376,0.095,0.0,1.0
92,203925443,0.09300000000000001,0.0,1.0
52,203848661,0.026000000000000002,0.0,1.0
90,203923185,0.017,0.0,1.0
212,204874314,0.002,0.0,1.0
89,203920354,-0.043,0.0,1.0
254,205249328,-0.052000000000000005,0.0,1.0
209,204870258,-0.053,0.0,1.0
106,203943710,-0.09,0.0,1.0
73,203891751,-0.139,0.0,1.0
133,204187094,-0.142,0.0,1.0
108,203947305,-0.183,0.0,1.0
107,203945512,-0.21600000000000003,0.0,1.0
57,203852282,-0.303,0.0,1.0
100,203935537,-0.309,0.0,1.0
81,203905625,-0.311,0.0,1.0
0,202610930,-0.35,0.0,1.0
262,203604427,-0.364,0.0,1.0
84,203913804,-0.373,0.0,1.0
228,205061092,-0.513,0.0,1.0
135,204226548,-0.53,0.0,1.0
271,204161056,-0.545,0.0,1.0
233,205088645,-0.5710000000000001,0.0,1.0
33,203786695,-0.5870000000000001,0.0,1.0
80,203905576,-0.659,0.0,1.0
204,204830786,-0.672,0.0,1.0
223,205008727,-0.679,0.0,1.0
109,203953466,-0.8340000000000001,0.0,1.0
170,204440603,-0.934,0.0,1.0
241,205156547,-1.0090000000000001,0.0,1.0
8,203382255,-1.14,0.0,1.0
119,203982074,0.073,0.0,0.9990000000000001
163,204399980,1.101,2.907,0.98
245,205164999,0.606,1.3230000000000002,0.976
40,203806628,1.101,9.615,0.972
35,203789507,-0.41200000000000003,1.656,0.972
97,203931628,0.10300000000000001,1.969,0.968
230,205064383,-0.135,2.0,0.961
66,203870058,-0.18899999999999997,5.556,0.961
189,204602441,-0.39399999999999996,3.2889999999999997,0.956
79,203904213,-0.039,1.6669999999999998,0.953
159,204388640,0.121,6.41,0.95
139,204245509,0.753,11.905,0.948
136,204231861,-0.36700000000000005,2.8739999999999997,0.9470000000000001
176,204472612,0.257,1.923,0.945
260,205519771,0.742,4.902,0.943
72,203889938,-0.13,6.25,0.94
88,203919315,0.855,10.0,0.9390000000000001
263,203950167,0.7979999999999999,8.333,0.9390000000000001
148,204281210,0.39899999999999997,2.551,0.937
177,204487447,0.37200000000000005,6.757000000000001,0.9329999999999999
214,204906020,-0.473,3.5210000000000004,0.9309999999999999
63,203864032,-0.251,4.386,0.93
231,205068630,0.45,2.0,0.927
58,203856109,-1.003,1.4369999999999998,0.917
130,204176565,0.627,8.065,0.914
10,203410665,0.875,10.417,0.9079999999999999
26,203749770,0.718,4.808,0.9079999999999999
152,204342099,-0.718,11.905,0.9079999999999999
211,204871862,0.537,1.6130000000000002,0.907
194,204638512,0.89,5.0,0.905
210,204871202,0.152,1.6340000000000001,0.905
140,204248645,0.40299999999999997,0.262,0.903
175,204469637,0.503,4.902,0.902
235,205110000,-0.096,7.143,0.902
27,203750883,0.368,4.098,0.898
190,204607034,-0.41,1.969,0.897
268,204514546,0.516,7.813,0.893
160,204395393,-0.281,5.952000000000001,0.8909999999999999
167,204428864,0.003,3.623,0.889
264,204211116,0.517,2.155,0.884
281,203926424,-0.11900000000000001,4.167,0.883
236,205115701,0.132,2.551,0.882
183,204512343,0.976,7.813,0.88
123,204107757,0.552,1.506,0.88
113,203962599,0.513,7.143,0.877
96,203930599,-0.106,10.87,0.877
251,205218826,0.47,3.378,0.872
242,205158239,-0.111,4.717,0.872
25,203725791,-0.285,8.929,0.872
225,205037578,0.255,4.717,0.87
266,204360807,-0.49200000000000005,5.102,0.8690000000000001
48,203842632,-0.132,2.0,0.867
197,204757338,0.204,2.381,0.862
147,204278916,0.784,3.623,0.8590000000000001
184,204530046,0.887,1.969,0.855
219,204940701,-0.255,1.7730000000000001,0.855
102,203937317,0.8059999999999999,5.556,0.8540000000000001
2,203082998,-0.013000000000000001,0.493,0.8540000000000001
137,204233955,-0.8190000000000001,2.0,0.8540000000000001
125,204130613,-0.35,8.621,0.851
218,204939243,0.45399999999999996,5.952000000000001,0.846
282,203946909,0.0,2.101,0.8440000000000001
208,204864076,0.20800000000000002,3.906,0.8420000000000001
182,204508462,-0.16399999999999998,1.5819999999999999,0.8420000000000001
42,203822485,-0.29,8.929,0.841
53,203849739,0.138,3.968,0.8390000000000001
274,204951022,-0.293,0.9690000000000001,0.836
36,203791768,0.368,2.717,0.835
116,203971352,0.142,2.427,0.835
172,204449274,-0.215,1.5530000000000002,0.833
178,204489514,0.736,1.7009999999999998,0.8320000000000001
11,203417549,0.369,3.378,0.831
7,203377650,-0.14,1.263,0.83
46,203833873,-0.179,3.125,0.83
24,203716389,-0.418,2.381,0.8290000000000001
270,210282534,-0.205,3.125,0.826
248,205182200,0.054000000000000006,3.247,0.8220000000000001
12,203429083,0.642,1.506,0.821
253,205241182,0.8590000000000001,2.137,0.82
185,204538777,0.255,1.479,0.818
83,203912674,-0.107,10.417,0.815
195,204651122,-0.23800000000000002,1.6030000000000002,0.8009999999999999
104,203938591,-0.053,2.551,0.7979999999999999
249,205198363,-0.018000000000000002,1.9080000000000001,0.7909999999999999
213,204894208,0.474,1.7009999999999998,0.7879999999999999
186,204565982,-0.065,1.5530000000000002,0.782
285,204581550,0.242,1.9080000000000001,0.78
164,204401119,-0.124,1.786,0.779
17,203637940,-0.128,3.2889999999999997,0.7759999999999999
191,204615647,0.295,7.813,0.774
6,203343161,0.621,2.2319999999999998,0.7709999999999999
279,203912136,-0.002,1.412,0.769
215,204908189,-0.5870000000000001,19.230999999999998,0.762
217,204933717,-0.166,1.5530000000000002,0.759
237,205145188,0.141,1.761,0.757
180,204496657,0.355,1.7990000000000002,0.753
3,203083616,0.526,1.351,0.752
216,204932990,0.525,2.315,0.752
62,203863066,-0.138,4.098,0.752
272,204187469,-0.225,5.952000000000001,0.7509999999999999
154,204347422,-1.105,6.944,0.746
114,203969672,0.675,4.902,0.745
150,204317053,-0.221,1.5919999999999999,0.745
149,204290918,0.4,2.525,0.743
201,204810161,-0.019,1.656,0.741
76,203895983,0.077,2.451,0.74
99,203934728,-0.149,5.814,0.738
247,205179845,0.024,2.6039999999999996,0.737
