ID        P      Q     
202610930  0.0    1.0    
202876718  1.953  0.578  
203082998  0.493  0.854  
203083616  1.351  0.752
203318214  4.167  0.031  
203337814  0.781  0.063
203343161  2.232  0.771 
203377650  1.263  0.83
203382255  0.0    1.0      
203385048  1.078  0.162  
203410665  10.417 0.908  
203417549  3.378  0.831  
203429083  1.506  0.821
203440253  6.757  0.316  
203465909  3.788  0.37   
203542463  1.563  0.717  
203559274  1.838  0.498
203637940  3.289  0.776  
203649927  2.632  0.481  
203664569  0.0    1.0        
203690414  1.812  0.551  
203703016  4.902  0.243  
203710077  3.731  0.378  
203712588  3.289  0.526  
203716389  2.381  0.829  
203725791  8.929  0.872  
203749770  4.808  0.908  
203750883  4.098  0.898  
203770366  1.812  0.417  
203770559  12.5   0.336  
203770673  2.294  0.073  
203774126  1.953  0.293  
203785905  8.929  0.166  
203786695  0.0    1.0    
203789325  1.282  0.434  
203789507  1.656  0.972  
203791768  2.717  0.835  
203794605  4.464  0.551  
203797163  14.706  0.302 
203801323  1.256  0.554
203806628  9.615  0.972
203810851  4.237  0.565  
203822485  8.929  0.841  
203822946  0.685  0.564  
203824153  11.905 0.593  
203826403  3.968  0.067  
203833873  3.125  0.83   
203837701  2.632  0.303  
203842632  2.0    0.867 
203843009  1.351  0.528
203843911  8.929  0.306  
203848625  8.065  0.167  
203848661  0.0    1.0    
203849739  3.968  0.839
203850058  2.874  0.657  
203850605  3.906  0.382  
203851860  3.521  0.417  
203852282  0.0    1.0   
203856109  1.437  0.917 
203856244  4.032  0.704  
203860592  6.25   0.076  
203862309  4.31   0.67   
203863066  4.098  0.752
203864032  4.386  0.930  
203867167  3.165  0.126  
203870022  12.5   0.57    
203870058  5.556  0.961  
203876897  0.708  1.002  
203877533  1.623  0.085  
203881373  0.275  0.661 
203881640  2.404  0.598  
203887087  6.757  0.381  
203889938  6.25   0.94   
203891751  0.0    1.0 
203892903  0.0    1.0  
203895738  1.359  0.71
203895983  2.451  0.74  
203896277  0.0    1.0    
203899786  5.952  0.608  
203904213  1.667  0.953  
203905576  0.0    1.0  
203905625  0.0    1.0    
203905980  1.894  0.362
203912674  10.417 0.815  
203913804  0.0    1.0     
203914960  0.0    1.002    
203915424  2.874  0.417  
203916376  0.0    1.0  
203919315  10.0   0.939  
203920354  0.0    1.0  
203923185  0.0    1.0  
203924502  3.472  0.185  
203925443  0.0    1.0  
203927902  0.693  0.498  
203928175  4.386  0.543  
203929332  3.571  0.201  
203930599  10.87  0.877  
203931628  1.969  0.968  
203933268  2.381  0.487  
203934728  5.814  0.738  
203935537  0.0    1.0    
203936815  8.929  0.662  
203937317  5.556  0.854  
203938167  1.613  0.310 
203938591  2.551  0.798
203941868  2.049  0.589  
203943710  0.0    1.0    
203945512  0.0    1.0    
203947305  0.0    1.0  
203953466  0.0    1.0    
203954898  20.833 0.609  
203955457  0.0    1.0    
203956650  0.676  0.531    
203962599  7.143  0.877  
203969672  4.902  0.745  
203969721  3.378  0.451  
203971352  2.427  0.835
203972079  6.41   0.231  
203981774  0.825  0.091  
203982074  0.0    0.999  
203987773  6.41   0.573  
203995761  5.102  0.531  
204078097  1.412  0.692  
204107757  1.506  0.88  
204108293  1.214  0.606  
204130613  8.621  0.851  
204137184  2.632  0.582  
204142243  6.944  0.576  
204147776  1.724  0.415  
204160652  2.809  0.465
204176565  8.065  0.914  
204181799  2.212  0.717  
204182919  6.757  0.042
204187094  0.0    1.0       
204193996  15.625 0.191  
204226548  0.0    1.0    
204231861  2.874  0.947
204233955  2.0    0.854  
204239132  4.237  0.466  
204245509  11.905 0.948  
204248645  0.262  0.903
204250417  1.344  0.705 
204256494  3.289  0.544  
204262368  1.866  0.324  
204274536  5.102  0.24    
204274743  1.773  0.567  
204277211  2.551  0.517  
204278916  3.623  0.859  
204281210  2.551  0.937  
204290918  2.525  0.743  
204317053  1.592  0.745  
204329690  2.155  0.613  
204342099  11.905 0.908  
204344180  1.825  0.73   
204347422  6.944  0.746
204347824  1.582  0.665  
204360645  1.894  0.622
204365840  1.938  0.616  
204372172  1.969  0.677  
