ID        M       
202610930  -0.35
202876718  0.086  
203082998  -0.013  
203083616  0.526  
203318214  0.193
203337814  -0.207 
203343161  0.621 
203377650  -0.14
203382255  -1.14
203385048  0.129 
203410665  0.875 
203417549  0.369 
203429083  0.642 
203440253  0.29
203465909  0.198 
203542463  0.438 
203559274  0.555 
203637940  -0.128
203649927  -0.386
203664569  1.036 
203690414  0.111 
203703016  0.008 
203710077  -0.107
203712588  0.519 
203716389  -0.418
203725791  -0.285
203749770  0.718 
203750883  0.368 
203770366  0.469 
203770559  0.321 
203770673  0.097 
203774126  -0.387
203785905  0.491  
203786695  -0.587
203789325  0.057 
203789507  -0.412
203791768  0.368  
203794605  -0.251
203797163  -0.065 
203801323  0.122
203806628  1.101  
203810851  0.076  
203822485  -0.29
203822946  -0.116
203824153  0.318
203826403  0.029
203833873  -0.179 
203837701  -0.058 
203842632  -0.132
203843009  0.692
203843911  0.097  
203848625  -0.13
203848661  0.026
203849739  0.138
203850058  0.03  
203850605  -0.144 
203851860  0.073  
203852282  -0.303
203856109  -1.003
203856244  0.29
203860592  0.404  
203862309  0.379  
203863066 -0.138
203864032 -0.251
203867167  -0.121
203870022  -0.245
203870058  -0.189 
203876897  -0.031
203877533  -0.09
203881373  0.131  
203881640  0.05   
203887087  0.96   
203889938  -0.13  
203891751  -0.139
203892903  0.605  
203895738 -0.155
203895983  0.077  
203896277  0.19   
203899786  -0.83
203904213  -0.039
203905576  -0.659
203905625  -0.311 
203905980  -0.286
203912674  -0.107
203913804  -0.373
203914960  0.044  
203915424  -0.06
203916376  0.095
203919315  0.855  
203920354 -0.043
203923185  0.017
203924502  0.273  
203925443  0.093  
203927902  0.585  
203928175  -0.664 
203929332  -0.073 
203930599  -0.106 
203931628  0.103  
203933268  0.349
203934728  -0.149 
203935537  -0.309
203936815  0.793  
203937317  0.806  
203938167 -0.057
203938591  -0.053
203941868  -0.055
203943710  -0.09
203945512  -0.216
203947305  -0.183
203953466  -0.834 
203954898  -1.348
203955457  0.187  
203956650  0.241
203962599  0.513  
203969672  0.675  
203969721  0.072  
203971352  0.142  
203972079  0.115  
203981774  -0.069
203982074  0.073
203987773  0.09
203995761  0.674  
204078097  -0.307
204107757  0.552  
204108293  0.065  
204130613  -0.35
204137184  1.243  
204142243  0.297  
204147776  0.112  
204160652  -0.202 
204176565  0.627  
204181799  -0.187 
204182919  -0.041 
204187094  -0.142 
204193996  -0.307 
204226548  -0.53
204231861  -0.367  
204233955  -0.819 
204239132  -0.034
204245509  0.753  
204248645  0.403
204250417  -0.192  
204256494  0.503  
204262368  -0.091 
204274536  0.575  
204274743  0.458  
204277211  -0.143 
204278916  0.784  
204281210  0.399  
204290918  0.4    
204317053  -0.221
204329690  0.304  
204342099  -0.718
204344180  0.29
204347422  -1.105
204347824  0.204  
204360645  -0.074 
204365840  0.073
204372172  -0.137
204388640  0.121  
204395393  -0.281 
204397408  -0.684 
204398857  0.04
204399980  1.101  
204401119 -0.124
204409463  0.109  
204413641  -0.033 
204428864  0.003
204434363  -0.259
204435866  -0.198
204440603  -0.934
204447221  -0.329 
204449274  -0.215 
204467371  0.107  
204467584  0.62
204469637  0.503  
204472612  0.257  
204487447  0.372  
204489514  0.736  
204495624  0.018  
204496657  0.355  
204501712  -0.016 
204508462  -0.164 
204512343  0.976  
204530046  0.887  
204538777  0.255  
204565982  -0.065
204578601  -0.005
204584778  -0.136  
204602441  -0.394 
204607034  -0.41 
204615647  0.295  
204630363  -0.069 
204637622  0.026  
204638512  0.89   
204651122  -0.238
204662993  -0.078
204757338  0.204  
204769599  -0.027 
204776782  0.019  
204807722  0.643  
204810161  -0.019
204811478  0.584  
204817605  0.021  
204830786  -0.672
204832936  0.221  
204856535  0.421  
204860656  0.015
204864076  0.208  
204870258  -0.053
204871202  0.152  
204871862  0.537  
204874314  0.002  
204894208  0.474  
204906020  -0.473 
204908189  -0.587
204932990  0.525  
204933717  -0.166 
204939243  0.454  
204940701  -0.255 
204964091  0.322
204982702  0.345  
205000676  0.058  
205008727  -0.679
205024407  -0.085 
205037578  0.255  
205038557  0.024
205051240  0.324  
205061092  -0.513
205063210  -0.042
205064383  -0.135
205068630  0.45  
205080616  0.214
205088645  -0.571 
205092303  0.296
205110000  -0.096
205115701  0.132
205145188  0.141
205151387  0.87  
205152244 -0.1 
205154017  -0.628
205156547  -1.009
205158239  -0.111
205160565  0.181 
205164892  -0.061
205164999  0.606 
205165965  -0.494
205179845  0.024 
205182200  0.054
205198363  -0.018
205208701  -0.029
205218826  0.47
205238942  0.232 
205241182  0.859 
205249328  -0.052
205345560  0.329 
205364526  -0.314
205366676  0.056
205375290  -0.064
205383125  0.466  
205519771  0.742 
210282528  -0.018
203604427  -0.364
203950167  0.798 
204211116  0.517 
204268916  -0.475
204360807  -0.492
204408707  0.355 
204514546  0.516 
205684783  0.173 
210282534  -0.205
204161056  -0.545
204187469  -0.225
204206295   0.346
204951022  -0.293
204449389   0.32
204611292   0.029
203893434   0.26
203893891  -0.434
203912136  -0.002
203917608   0.091  
203926424  -0.119
203946909   0.0 
204094503  -0.21
204397879   0.318
204581550   0.242
205086621   0.71 
205091879  -0.116
